date,faixa,admissoes
2020-01-01,30–39h,77944
2020-01-01,40h,65936
2020-01-01,41–43h,31231
2020-01-01,44h (jornada máxima),1111982
2020-01-01,Parcial (≤30h),97893
2020-02-01,30–39h,81456
2020-02-01,40h,71042
2020-02-01,41–43h,32881
2020-02-01,44h (jornada máxima),1146454
2020-02-01,Parcial (≤30h),151999
2020-03-01,30–39h,80796
2020-03-01,40h,62636
2020-03-01,41–43h,32713
2020-03-01,44h (jornada máxima),1073677
2020-03-01,Parcial (≤30h),97843
2020-04-01,30–39h,58996
2020-04-01,40h,30637
2020-04-01,41–43h,17029
2020-04-01,44h (jornada máxima),482334
2020-04-01,Parcial (≤30h),28648
2020-05-01,30–39h,70665
2020-05-01,40h,29591
2020-05-01,41–43h,18580
2020-05-01,44h (jornada máxima),562246
2020-05-01,Parcial (≤30h),35248
2020-06-01,30–39h,79253
2020-06-01,40h,36127
2020-06-01,41–43h,20437
2020-06-01,44h (jornada máxima),735979
2020-06-01,Parcial (≤30h),38380
2020-07-01,30–39h,73593
2020-07-01,40h,42142
2020-07-01,41–43h,22860
2020-07-01,44h (jornada máxima),875947
2020-07-01,Parcial (≤30h),47356
2020-08-01,30–39h,79091
2020-08-01,40h,51538
2020-08-01,41–43h,28977
2020-08-01,44h (jornada máxima),1035682
2020-08-01,Parcial (≤30h),62074
2020-09-01,30–39h,86763
2020-09-01,40h,58400
2020-09-01,41–43h,31798
2020-09-01,44h (jornada máxima),1158508
2020-09-01,Parcial (≤30h),71277
2020-10-01,30–39h,99103
2020-10-01,40h,63072
2020-10-01,41–43h,37779
2020-10-01,44h (jornada máxima),1291982
2020-10-01,Parcial (≤30h),79466
2020-11-01,30–39h,102175
2020-11-01,40h,59154
2020-11-01,41–43h,38145
2020-11-01,44h (jornada máxima),1274211
2020-11-01,Parcial (≤30h),79152
2020-12-01,30–39h,102434
2020-12-01,40h,50335
2020-12-01,41–43h,34391
2020-12-01,44h (jornada máxima),1012284
2020-12-01,Parcial (≤30h),56803
2021-01-01,30–39h,103320
2021-01-01,40h,71580
2021-01-01,41–43h,36299
2021-01-01,44h (jornada máxima),1254018
2021-01-01,Parcial (≤30h),84858
2021-02-01,30–39h,103164
2021-02-01,40h,78914
2021-02-01,41–43h,38938
2021-02-01,44h (jornada máxima),1359508
2021-02-01,Parcial (≤30h),134901
2021-03-01,30–39h,115843
2021-03-01,40h,79128
2021-03-01,41–43h,38513
2021-03-01,44h (jornada máxima),1285966
2021-03-01,Parcial (≤30h),107435
2021-04-01,30–39h,102553
2021-04-01,40h,73528
2021-04-01,41–43h,32915
2021-04-01,44h (jornada máxima),1104575
2021-04-01,Parcial (≤30h),82740
2021-05-01,30–39h,97823
2021-05-01,40h,84632
2021-05-01,41–43h,34431
2021-05-01,44h (jornada máxima),1251856
2021-05-01,Parcial (≤30h),89574
2021-06-01,30–39h,100223
2021-06-01,40h,84352
2021-06-01,41–43h,36640
2021-06-01,44h (jornada máxima),1301332
2021-06-01,Parcial (≤30h),87201
2021-07-01,30–39h,101405
2021-07-01,40h,83945
2021-07-01,41–43h,37935
2021-07-01,44h (jornada máxima),1348099
2021-07-01,Parcial (≤30h),94667
2021-08-01,30–39h,102778
2021-08-01,40h,95490
2021-08-01,41–43h,40549
2021-08-01,44h (jornada máxima),1453192
2021-08-01,Parcial (≤30h),127402
2021-09-01,30–39h,98765
2021-09-01,40h,91942
2021-09-01,41–43h,39496
2021-09-01,44h (jornada máxima),1455373
2021-09-01,Parcial (≤30h),104391
2021-10-01,30–39h,105491
2021-10-01,40h,87123
2021-10-01,41–43h,40450
2021-10-01,44h (jornada máxima),1432050
2021-10-01,Parcial (≤30h),95625
2021-11-01,30–39h,103108
2021-11-01,40h,83736
2021-11-01,41–43h,41263
2021-11-01,44h (jornada máxima),1455041
2021-11-01,Parcial (≤30h),89618
2021-12-01,30–39h,98260
2021-12-01,40h,66751
2021-12-01,41–43h,37051
2021-12-01,44h (jornada máxima),1168559
2021-12-01,Parcial (≤30h),67289
2022-01-01,30–39h,110121
2022-01-01,40h,94092
2022-01-01,41–43h,40402
2022-01-01,44h (jornada máxima),1431721
2022-01-01,Parcial (≤30h),101310
2022-02-01,30–39h,116822
2022-02-01,40h,117341
2022-02-01,41–43h,44024
2022-02-01,44h (jornada máxima),1563415
2022-02-01,Parcial (≤30h),171541
2022-03-01,30–39h,109049
2022-03-01,40h,106226
2022-03-01,41–43h,42548
2022-03-01,44h (jornada máxima),1567128
2022-03-01,Parcial (≤30h),128120
2022-04-01,30–39h,106094
2022-04-01,40h,97917
2022-04-01,41–43h,40483
2022-04-01,44h (jornada máxima),1450221
2022-04-01,Parcial (≤30h),159842
2022-05-01,30–39h,108554
2022-05-01,40h,99098
2022-05-01,41–43h,43578
2022-05-01,44h (jornada máxima),1600801
2022-05-01,Parcial (≤30h),108929
2022-06-01,30–39h,107080
2022-06-01,40h,97984
2022-06-01,41–43h,42505
2022-06-01,44h (jornada máxima),1552342
2022-06-01,Parcial (≤30h),98965
2022-07-01,30–39h,105750
2022-07-01,40h,95096
2022-07-01,41–43h,43183
2022-07-01,44h (jornada máxima),1541454
2022-07-01,Parcial (≤30h),101054
2022-08-01,30–39h,108683
2022-08-01,40h,105065
2022-08-01,41–43h,46306
2022-08-01,44h (jornada máxima),1657909
2022-08-01,Parcial (≤30h),133837
2022-09-01,30–39h,102129
2022-09-01,40h,96735
2022-09-01,41–43h,41685
2022-09-01,44h (jornada máxima),1580159
2022-09-01,Parcial (≤30h),105864
2022-10-01,30–39h,102384
2022-10-01,40h,84634
2022-10-01,41–43h,39550
2022-10-01,44h (jornada máxima),1470000
2022-10-01,Parcial (≤30h),92894
2022-11-01,30–39h,99446
2022-11-01,40h,81562
2022-11-01,41–43h,40953
2022-11-01,44h (jornada máxima),1441051
2022-11-01,Parcial (≤30h),84882
2022-12-01,30–39h,87813
2022-12-01,40h,58010
2022-12-01,41–43h,33198
2022-12-01,44h (jornada máxima),1145445
2022-12-01,Parcial (≤30h),58457
2023-01-01,30–39h,102107
2023-01-01,40h,88233
2023-01-01,41–43h,40410
2023-01-01,44h (jornada máxima),1535711
2023-01-01,Parcial (≤30h),107765
2023-02-01,30–39h,103420
2023-02-01,40h,93706
2023-02-01,41–43h,41500
2023-02-01,44h (jornada máxima),1546920
2023-02-01,Parcial (≤30h),164298
2023-03-01,30–39h,116961
2023-03-01,40h,97559
2023-03-01,41–43h,48407
2023-03-01,44h (jornada máxima),1764883
2023-03-01,Parcial (≤30h),140608
2023-04-01,30–39h,106884
2023-04-01,40h,87470
2023-04-01,41–43h,40350
2023-04-01,44h (jornada máxima),1522419
2023-04-01,Parcial (≤30h),108156
2023-05-01,30–39h,109348
2023-05-01,40h,93608
2023-05-01,41–43h,44653
2023-05-01,44h (jornada máxima),1646278
2023-05-01,Parcial (≤30h),106315
2023-06-01,30–39h,105184
2023-06-01,40h,87457
2023-06-01,41–43h,41725
2023-06-01,44h (jornada máxima),1584127
2023-06-01,Parcial (≤30h),95637
2023-07-01,30–39h,103239
2023-07-01,40h,85797
2023-07-01,41–43h,40506
2023-07-01,44h (jornada máxima),1552946
2023-07-01,Parcial (≤30h),100710
2023-08-01,30–39h,110125
2023-08-01,40h,96719
2023-08-01,41–43h,44767
2023-08-01,44h (jornada máxima),1714030
2023-08-01,Parcial (≤30h),133570
2023-09-01,30–39h,103928
2023-09-01,40h,82173
2023-09-01,41–43h,43548
2023-09-01,44h (jornada máxima),1583893
2023-09-01,Parcial (≤30h),103515
2023-10-01,30–39h,108863
2023-10-01,40h,83621
2023-10-01,41–43h,41934
2023-10-01,44h (jornada máxima),1609228
2023-10-01,Parcial (≤30h),97635
2023-11-01,30–39h,104865
2023-11-01,40h,77913
2023-11-01,41–43h,41096
2023-11-01,44h (jornada máxima),1555531
2023-11-01,Parcial (≤30h),87347
2023-12-01,30–39h,95070
2023-12-01,40h,59932
2023-12-01,41–43h,35521
2023-12-01,44h (jornada máxima),1248650
2023-12-01,Parcial (≤30h),63390
2024-01-01,30–39h,112534
2024-01-01,40h,92426
2024-01-01,41–43h,42581
2024-01-01,44h (jornada máxima),1700481
2024-01-01,Parcial (≤30h),119795
2024-02-01,30–39h,117993
2024-02-01,40h,106366
2024-02-01,41–43h,46480
2024-02-01,44h (jornada máxima),1802636
2024-02-01,Parcial (≤30h),175595
2024-03-01,30–39h,121838
2024-03-01,40h,103590
2024-03-01,41–43h,48861
2024-03-01,44h (jornada máxima),1848084
2024-03-01,Parcial (≤30h),140047
2024-04-01,30–39h,123725
2024-04-01,40h,104168
2024-04-01,41–43h,50995
2024-04-01,44h (jornada máxima),1860027
2024-04-01,Parcial (≤30h),121524
2024-05-01,30–39h,120028
2024-05-01,40h,96575
2024-05-01,41–43h,48106
2024-05-01,44h (jornada máxima),1747858
2024-05-01,Parcial (≤30h),103759
2024-06-01,30–39h,115251
2024-06-01,40h,91733
2024-06-01,41–43h,45823
2024-06-01,44h (jornada máxima),1719551
2024-06-01,Parcial (≤30h),99291
2024-07-01,30–39h,122186
2024-07-01,40h,103445
2024-07-01,41–43h,48638
2024-07-01,44h (jornada máxima),1805061
2024-07-01,Parcial (≤30h),108303
2024-08-01,30–39h,121018
2024-08-01,40h,101609
2024-08-01,41–43h,49872
2024-08-01,44h (jornada máxima),1825867
2024-08-01,Parcial (≤30h),133044
2024-09-01,30–39h,120242
2024-09-01,40h,98151
2024-09-01,41–43h,49625
2024-09-01,44h (jornada máxima),1780118
2024-09-01,Parcial (≤30h),115793
2024-10-01,30–39h,124134
2024-10-01,40h,93693
2024-10-01,41–43h,50288
2024-10-01,44h (jornada máxima),1846154
2024-10-01,Parcial (≤30h),108693
2024-11-01,30–39h,114990
2024-11-01,40h,81289
2024-11-01,41–43h,45467
2024-11-01,44h (jornada máxima),1643105
2024-11-01,Parcial (≤30h),93520
2024-12-01,30–39h,103865
2024-12-01,40h,59245
2024-12-01,41–43h,37728
2024-12-01,44h (jornada máxima),1261496
2024-12-01,Parcial (≤30h),61917
2025-01-01,30–39h,124143
2025-01-01,40h,108217
2025-01-01,41–43h,46542
2025-01-01,44h (jornada máxima),1864414
2025-01-01,Parcial (≤30h),128295
2025-02-01,30–39h,137855
2025-02-01,40h,122223
2025-02-01,41–43h,55238
2025-02-01,44h (jornada máxima),2067222
2025-02-01,Parcial (≤30h),196654
2025-03-01,30–39h,123925
2025-03-01,40h,99702
2025-03-01,41–43h,48667
2025-03-01,44h (jornada máxima),1830610
2025-03-01,Parcial (≤30h),131758
2025-04-01,30–39h,124722
2025-04-01,40h,103774
2025-04-01,41–43h,50752
2025-04-01,44h (jornada máxima),1883864
2025-04-01,Parcial (≤30h),119075
2025-05-01,30–39h,122652
2025-05-01,40h,102078
2025-05-01,41–43h,50258
2025-05-01,44h (jornada máxima),1864360
2025-05-01,Parcial (≤30h),116877
2025-06-01,30–39h,123923
2025-06-01,40h,97657
2025-06-01,41–43h,48385
2025-06-01,44h (jornada máxima),1759474
2025-06-01,Parcial (≤30h),109743
2025-07-01,30–39h,126419
2025-07-01,40h,103008
2025-07-01,41–43h,50985
2025-07-01,44h (jornada máxima),1854082
2025-07-01,Parcial (≤30h),116946
2025-08-01,30–39h,121892
2025-08-01,40h,107859
2025-08-01,41–43h,50626
2025-08-01,44h (jornada máxima),1812488
2025-08-01,Parcial (≤30h),147030
2025-09-01,30–39h,126792
2025-09-01,40h,106920
2025-09-01,41–43h,50990
2025-09-01,44h (jornada máxima),1879622
2025-09-01,Parcial (≤30h),128168
2025-10-01,30–39h,131139
2025-10-01,40h,114795
2025-10-01,41–43h,51021
2025-10-01,44h (jornada máxima),1863851
2025-10-01,Parcial (≤30h),110654
2025-11-01,30–39h,121001
2025-11-01,40h,86237
2025-11-01,41–43h,46767
2025-11-01,44h (jornada máxima),1634745
2025-11-01,Parcial (≤30h),91152
2025-12-01,30–39h,102412
2025-12-01,40h,64197
2025-12-01,41–43h,37227
2025-12-01,44h (jornada máxima),1257838
2025-12-01,Parcial (≤30h),61635
2026-01-01,30–39h,126069
2026-01-01,40h,94998
2026-01-01,41–43h,47861
2026-01-01,44h (jornada máxima),1812276
2026-01-01,Parcial (≤30h),126826
2026-02-01,30–39h,133519
2026-02-01,40h,114916
2026-02-01,41–43h,52358
2026-02-01,44h (jornada máxima),1890386
2026-02-01,Parcial (≤30h),190588
2026-03-01,30–39h,138947
2026-03-01,40h,116832
2026-03-01,41–43h,56815
2026-03-01,44h (jornada máxima),2058113
2026-03-01,Parcial (≤30h),155953
