date,faixa,admissoes,fonte
2007-01-01,30–39h,47745,CAGED Antigo
2007-01-01,40h,28018,CAGED Antigo
2007-01-01,41–43h,8390,CAGED Antigo
2007-01-01,44h (jornada máxima),1021575,CAGED Antigo
2007-01-01,Parcial (≤30h),38315,CAGED Antigo
2007-02-01,30–39h,47980,CAGED Antigo
2007-02-01,40h,26276,CAGED Antigo
2007-02-01,41–43h,7757,CAGED Antigo
2007-02-01,44h (jornada máxima),979504,CAGED Antigo
2007-02-01,Parcial (≤30h),76220,CAGED Antigo
2007-03-01,30–39h,52966,CAGED Antigo
2007-03-01,40h,27329,CAGED Antigo
2007-03-01,41–43h,9180,CAGED Antigo
2007-03-01,44h (jornada máxima),1103012,CAGED Antigo
2007-03-01,Parcial (≤30h),63143,CAGED Antigo
2007-04-01,30–39h,52882,CAGED Antigo
2007-04-01,40h,25071,CAGED Antigo
2007-04-01,41–43h,10175,CAGED Antigo
2007-04-01,44h (jornada máxima),1137299,CAGED Antigo
2007-04-01,Parcial (≤30h),47524,CAGED Antigo
2007-05-01,30–39h,53598,CAGED Antigo
2007-05-01,40h,26632,CAGED Antigo
2007-05-01,41–43h,8718,CAGED Antigo
2007-05-01,44h (jornada máxima),1158547,CAGED Antigo
2007-05-01,Parcial (≤30h),46002,CAGED Antigo
2007-06-01,30–39h,49794,CAGED Antigo
2007-06-01,40h,25860,CAGED Antigo
2007-06-01,41–43h,8421,CAGED Antigo
2007-06-01,44h (jornada máxima),1071447,CAGED Antigo
2007-06-01,Parcial (≤30h),42087,CAGED Antigo
2007-07-01,30–39h,51919,CAGED Antigo
2007-07-01,40h,27425,CAGED Antigo
2007-07-01,41–43h,9082,CAGED Antigo
2007-07-01,44h (jornada máxima),1056352,CAGED Antigo
2007-07-01,Parcial (≤30h),45757,CAGED Antigo
2007-08-01,30–39h,53617,CAGED Antigo
2007-08-01,40h,27479,CAGED Antigo
2007-08-01,41–43h,9285,CAGED Antigo
2007-08-01,44h (jornada máxima),1093602,CAGED Antigo
2007-08-01,Parcial (≤30h),69540,CAGED Antigo
2007-09-01,30–39h,51038,CAGED Antigo
2007-09-01,40h,26698,CAGED Antigo
2007-09-01,41–43h,9871,CAGED Antigo
2007-09-01,44h (jornada máxima),1088173,CAGED Antigo
2007-09-01,Parcial (≤30h),48507,CAGED Antigo
2007-10-01,30–39h,57432,CAGED Antigo
2007-10-01,40h,26695,CAGED Antigo
