serie,melhor_modelo,prev_jun2027,ic_inf,ic_sup,RMSE,MASE,adf_p,adf_stationary,kpss_p,arch_p,heteroscedastic,seasonal_strength
Brasil,Seasonal Naive,166654,-200211,533519,80681,0.516,0.139,False,0.1,0.0,True,0.695
RO,SARIMA,984,-1981,3949,440,0.476,0.304,False,0.1,0.009,True,0.669
AC,Seasonal Naive,605,-364,1574,393,0.836,0.611,False,0.1,0.066,False,0.799
AM,SARIMA,3735,-1054,8524,1587,0.581,0.241,False,0.1,0.0,True,0.576
RR,SARIMA,186,-716,1088,476,1.041,0.894,False,0.1,0.065,False,0.612
PA,SARIMA,6258,-1308,13825,1831,0.525,0.39,False,0.1,0.0,True,0.849
AP,SARIMA,1499,454,2543,315,0.598,0.287,False,0.1,0.004,True,0.695
TO,Seasonal Naive,513,-1368,2394,843,0.877,0.735,False,0.1,0.0,True,0.836
MA,ETS (Holt-Winters),6462,-351,14114,1367,0.627,0.585,False,0.1,0.011,True,0.778
PI,Seasonal Naive,2745,-893,6383,1124,0.696,0.055,False,0.1,0.215,False,0.727
CE,Seasonal Naive,7320,-4947,19587,3530,0.577,0.587,False,0.1,0.34,False,0.696
RN,ETS (Holt-Winters),3167,-2920,9231,1872,0.863,0.151,False,0.1,0.024,True,0.8
PB,SARIMA,2434,-1644,6511,1747,0.772,0.253,False,0.1,0.072,False,0.796
PE,ETS (Holt-Winters),12338,-16858,40474,4515,0.843,0.023,True,0.1,0.003,True,0.816
AL,SARIMA,2394,-3286,8074,1504,0.467,0.221,False,0.1,0.0,True,0.856
SE,Seasonal Naive,2407,-485,5299,965,0.688,0.003,True,0.1,0.001,True,0.824
BA,SARIMA,13294,-4311,30899,4982,0.589,0.106,False,0.1,0.0,True,0.521
MG,SARIMA,28572,-21987,79132,11593,0.653,0.195,False,0.1,0.0,True,0.736
ES,Seasonal Naive,-3348,-12089,5393,2838,0.782,0.41,False,0.1,0.001,True,0.649
RJ,Seasonal Naive,15363,-18851,49577,11241,0.628,0.059,False,0.1,0.049,True,0.438
SP,SARIMA,49375,-80240,178991,21341,0.457,0.098,False,0.1,0.0,True,0.636
PR,Seasonal Naive,9377,-15893,34647,7433,0.65,0.136,False,0.1,0.0,True,0.754
SC,SARIMA,8199,-18353,34751,4990,0.513,0.224,False,0.1,0.0,True,0.68
RS,ETS (Holt-Winters),-12846,-76749,56095,6744,0.656,0.344,False,0.1,0.0,True,0.673
MS,Seasonal Naive,2709,-2372,7790,1806,0.811,0.421,False,0.1,0.0,True,0.841
MT,Seasonal Naive,9388,1939,16837,2160,0.558,0.476,False,0.1,0.0,True,0.959
GO,SARIMA,8033,-8038,24103,2711,0.474,0.385,False,0.1,0.0,True,0.766
DF,SARIMA,5833,-2102,13769,3659,0.836,0.091,False,0.1,0.026,True,0.692
