serie,modelo,data,previsao,ic_inf,ic_sup
Brasil,SARIMA,2026-04-01,312622,60483,564762
Brasil,SARIMA,2026-05-01,197738,-113592,509067
Brasil,SARIMA,2026-06-01,208626,-129638,546890
Brasil,SARIMA,2026-07-01,170316,-181254,521885
Brasil,SARIMA,2026-08-01,196495,-161857,554848
Brasil,SARIMA,2026-09-01,233474,-128386,595333
Brasil,SARIMA,2026-10-01,122839,-240847,486525
Brasil,SARIMA,2026-11-01,104830,-259811,469471
Brasil,SARIMA,2026-12-01,-562910,-928051,-197770
Brasil,SARIMA,2027-01-01,132974,-232429,498376
Brasil,SARIMA,2027-02-01,301980,-63560,667519
Brasil,SARIMA,2027-03-01,201951,-163660,567563
Brasil,SARIMA,2027-04-01,289850,-110812,690513
Brasil,SARIMA,2027-05-01,176725,-241151,594602
Brasil,SARIMA,2027-06-01,198974,-227655,625603
Brasil,ETS (Holt-Winters),2026-04-01,149424,-119711,435449
Brasil,ETS (Holt-Winters),2026-05-01,242187,-175319,629091
Brasil,ETS (Holt-Winters),2026-06-01,287211,-195420,751912
Brasil,ETS (Holt-Winters),2026-07-01,281905,-295491,811811
Brasil,ETS (Holt-Winters),2026-08-01,336627,-290729,920797
Brasil,ETS (Holt-Winters),2026-09-01,356936,-323332,1007594
Brasil,ETS (Holt-Winters),2026-10-01,287193,-450983,1019181
Brasil,ETS (Holt-Winters),2026-11-01,295180,-471298,1063319
Brasil,ETS (Holt-Winters),2026-12-01,-321976,-1181332,490865
Brasil,ETS (Holt-Winters),2027-01-01,222176,-698482,1084352
Brasil,ETS (Holt-Winters),2027-02-01,377534,-522225,1288613
Brasil,ETS (Holt-Winters),2027-03-01,210405,-719306,1156796
Brasil,ETS (Holt-Winters),2027-04-01,144698,-805164,1130065
Brasil,ETS (Holt-Winters),2027-05-01,237462,-751950,1242857
Brasil,ETS (Holt-Winters),2027-06-01,282486,-777984,1264488
Brasil,Seasonal Naive,2026-04-01,257524,-109341,624389
Brasil,Seasonal Naive,2026-05-01,148881,-217984,515746
Brasil,Seasonal Naive,2026-06-01,166654,-200211,533519
Brasil,Seasonal Naive,2026-07-01,129799,-237066,496664
Brasil,Seasonal Naive,2026-08-01,147401,-219464,514266
Brasil,Seasonal Naive,2026-09-01,213008,-153857,579873
Brasil,Seasonal Naive,2026-10-01,85128,-281737,451993
Brasil,Seasonal Naive,2026-11-01,85814,-281051,452679
Brasil,Seasonal Naive,2026-12-01,-618081,-984946,-251216
Brasil,Seasonal Naive,2027-01-01,112312,-254553,479177
Brasil,Seasonal Naive,2027-02-01,255361,-111504,622226
Brasil,Seasonal Naive,2027-03-01,228026,-138839,594891
Brasil,Seasonal Naive,2027-04-01,257524,-109341,624389
Brasil,Seasonal Naive,2027-05-01,148881,-217984,515746
Brasil,Seasonal Naive,2027-06-01,166654,-200211,533519
Brasil,Random Forest,2026-04-01,184190,-79660,448040
Brasil,Random Forest,2026-05-01,130236,-242904,503376
Brasil,Random Forest,2026-06-01,126692,-330310,583693
Brasil,Random Forest,2026-07-01,121433,-406267,649133
