secao,secao_nome,faixa,admissoes,fonte
A,Agropecuária,30–39h,27166,CAGED Antigo
A,Agropecuária,40h,36496,CAGED Antigo
A,Agropecuária,41–43h,16686,CAGED Antigo
A,Agropecuária,44h (jornada máxima),11058520,CAGED Antigo
A,Agropecuária,Parcial (≤30h),97266,CAGED Antigo
B,Indústria extrativa,30–39h,54103,CAGED Antigo
B,Indústria extrativa,40h,37656,CAGED Antigo
B,Indústria extrativa,41–43h,9712,CAGED Antigo
B,Indústria extrativa,44h (jornada máxima),406530,CAGED Antigo
B,Indústria extrativa,Parcial (≤30h),25594,CAGED Antigo
C,Indústria de transformação,30–39h,364004,CAGED Antigo
C,Indústria de transformação,40h,522213,CAGED Antigo
C,Indústria de transformação,41–43h,335828,CAGED Antigo
C,Indústria de transformação,44h (jornada máxima),27548771,CAGED Antigo
C,Indústria de transformação,Parcial (≤30h),856003,CAGED Antigo
D,Eletricidade e gás,30–39h,7937,CAGED Antigo
D,Eletricidade e gás,40h,38011,CAGED Antigo
D,Eletricidade e gás,41–43h,2478,CAGED Antigo
D,Eletricidade e gás,44h (jornada máxima),81229,CAGED Antigo
D,Eletricidade e gás,Parcial (≤30h),13210,CAGED Antigo
E,"Água, esgoto e resíduos",30–39h,14617,CAGED Antigo
E,"Água, esgoto e resíduos",40h,43523,CAGED Antigo
E,"Água, esgoto e resíduos",41–43h,2449,CAGED Antigo
E,"Água, esgoto e resíduos",44h (jornada máxima),751674,CAGED Antigo
E,"Água, esgoto e resíduos",Parcial (≤30h),26648,CAGED Antigo
F,Construção,30–39h,97246,CAGED Antigo
F,Construção,40h,87613,CAGED Antigo
F,Construção,41–43h,25921,CAGED Antigo
F,Construção,44h (jornada máxima),19754170,CAGED Antigo
F,Construção,Parcial (≤30h),267449,CAGED Antigo
G,Comércio e reparação,30–39h,1213856,CAGED Antigo
G,Comércio e reparação,40h,267967,CAGED Antigo
G,Comércio e reparação,41–43h,231063,CAGED Antigo
G,Comércio e reparação,44h (jornada máxima),39634044,CAGED Antigo
G,Comércio e reparação,Parcial (≤30h),1534837,CAGED Antigo
H,Transporte e armazenagem,30–39h,310539,CAGED Antigo
H,Transporte e armazenagem,40h,158396,CAGED Antigo
H,Transporte e armazenagem,41–43h,326311,CAGED Antigo
