date,secao,secao_nome,saldo,admissoes
2020-01-01,A,Agropecuária,16095,69520
2020-01-01,B,Indústria extrativa,157,3284
2020-01-01,C,Indústria de transformação,55473,229525
2020-01-01,D,Eletricidade e gás,-283,1161
2020-01-01,E,"Água, esgoto e resíduos",486,6796
2020-01-01,F,Construção,31772,143164
2020-01-01,G,Comércio e reparação,-53489,308116
2020-01-01,H,Transporte e armazenagem,-2095,65619
2020-01-01,I,Alojamento e alimentação,2780,93304
2020-01-01,J,Informação e comunicação,5522,30854
2020-01-01,K,Atividades financeiras,1730,14406
2020-01-01,L,Atividades imobiliárias,1063,5654
2020-01-01,M,Atividades profissionais e científicas,9090,48125
2020-01-01,N,Atividades administrativas e serviços,8272,216781
2020-01-01,O,Administração pública,-445,3961
2020-01-01,P,Educação,6981,50125
2020-01-01,Q,Saúde humana e serviço social,5519,55532
2020-01-01,R,"Artes, cultura e esporte",1920,9984
2020-01-01,S,Outros serviços,2124,28972
2020-01-01,T,Serviços domésticos,1,68
2020-01-01,U,Organismos internacionais,5,35
2020-02-01,A,Agropecuária,4942,70254
2020-02-01,B,Indústria extrativa,1339,4463
2020-02-01,C,Indústria de transformação,33223,236146
2020-02-01,D,Eletricidade e gás,291,1492
2020-02-01,E,"Água, esgoto e resíduos",1379,8376
2020-02-01,F,Construção,23467,137113
2020-02-01,G,Comércio e reparação,6243,333131
2020-02-01,H,Transporte e armazenagem,8249,75198
2020-02-01,I,Alojamento e alimentação,11690,98571
2020-02-01,J,Informação e comunicação,4073,29035
2020-02-01,K,Atividades financeiras,1899,14331
2020-02-01,L,Atividades imobiliárias,1096,5649
2020-02-01,M,Atividades profissionais e científicas,7135,45017
2020-02-01,N,Atividades administrativas e serviços,15519,210762
2020-02-01,O,Administração pública,11251,15470
2020-02-01,P,Educação,49489,92291
2020-02-01,Q,Saúde humana e serviço social,9713,60283
2020-02-01,R,"Artes, cultura e esporte",1471,9603
2020-02-01,S,Outros serviços,5888,36552
2020-02-01,T,Serviços domésticos,4,69
2020-02-01,U,Organismos internacionais,8,26
2020-03-01,A,Agropecuária,-4449,68635
2020-03-01,B,Indústria extrativa,-193,3685
2020-03-01,C,Indústria de transformação,-34183,213587
2020-03-01,D,Eletricidade e gás,169,1264
2020-03-01,E,"Água, esgoto e resíduos",466,7437
2020-03-01,F,Construção,-13177,125344
2020-03-01,G,Comércio e reparação,-72727,311296
2020-03-01,H,Transporte e armazenagem,-5450,73853
2020-03-01,I,Alojamento e alimentação,-81374,71103
2020-03-01,J,Informação e comunicação,-31,29298
2020-03-01,K,Atividades financeiras,1837,15305
2020-03-01,L,Atividades imobiliárias,12,5085
2020-03-01,M,Atividades profissionais e científicas,-2022,44777
2020-03-01,N,Atividades administrativas e serviços,-35991,220710
2020-03-01,O,Administração pública,3472,6957
2020-03-01,P,Educação,10311,49058
2020-03-01,Q,Saúde humana e serviço social,9467,64766
2020-03-01,R,"Artes, cultura e esporte",-5312,6937
2020-03-01,S,Outros serviços,-3157,28488
2020-03-01,T,Serviços domésticos,9,54
2020-03-01,U,Organismos internacionais,7,26
2020-04-01,A,Agropecuária,-5441,52759
2020-04-01,B,Indústria extrativa,-1286,2063
2020-04-01,C,Indústria de transformação,-200760,89813
2020-04-01,D,Eletricidade e gás,50,667
2020-04-01,E,"Água, esgoto e resíduos",-3082,3715
2020-04-01,F,Construção,-69570,59027
2020-04-01,G,Comércio e reparação,-243197,116937
2020-04-01,H,Transporte e armazenagem,-52754,36059
2020-04-01,I,Alojamento e alimentação,-136402,12308
2020-04-01,J,Informação e comunicação,-13187,12245
2020-04-01,K,Atividades financeiras,-5534,5328
2020-04-01,L,Atividades imobiliárias,-3606,1678
2020-04-01,M,Atividades profissionais e científicas,-22585,18259
2020-04-01,N,Atividades administrativas e serviços,-91191,126071
2020-04-01,O,Administração pública,-50,2424
2020-04-01,P,Educação,-23624,8713
2020-04-01,Q,Saúde humana e serviço social,2878,58732
2020-04-01,R,"Artes, cultura e esporte",-14584,884
2020-04-01,S,Outros serviços,-18350,9939
2020-04-01,T,Serviços domésticos,-37,17
2020-04-01,U,Organismos internacionais,-5,6
2020-05-01,A,Agropecuária,15780,69794
2020-05-01,B,Indústria extrativa,-544,2598
2020-05-01,C,Indústria de transformação,-97904,95469
2020-05-01,D,Eletricidade e gás,11,724
2020-05-01,E,"Água, esgoto e resíduos",-2228,4166
2020-05-01,F,Construção,-20646,86416
2020-05-01,G,Comércio e reparação,-94274,144197
2020-05-01,H,Transporte e armazenagem,-27813,36190
2020-05-01,I,Alojamento e alimentação,-58007,14057
2020-05-01,J,Informação e comunicação,-4937,13871
2020-05-01,K,Atividades financeiras,-3343,5833
2020-05-01,L,Atividades imobiliárias,-1614,2353
2020-05-01,M,Atividades profissionais e científicas,-10805,21485
2020-05-01,N,Atividades administrativas e serviços,-20599,140267
2020-05-01,O,Administração pública,484,3235
2020-05-01,P,Educação,-19008,7311
2020-05-01,Q,Saúde humana e serviço social,7344,55020
2020-05-01,R,"Artes, cultura e esporte",-5688,827
2020-05-01,S,Outros serviços,-8985,12476
2020-05-01,T,Serviços domésticos,-13,29
2020-05-01,U,Organismos internacionais,0,12
2020-06-01,A,Agropecuária,36829,84013
2020-06-01,B,Indústria extrativa,636,3563
2020-06-01,C,Indústria de transformação,-4442,137323
2020-06-01,D,Eletricidade e gás,-334,750
2020-06-01,E,"Água, esgoto e resíduos",-1377,4338
2020-06-01,F,Construção,17016,114898
2020-06-01,G,Comércio e reparação,-19799,191301
2020-06-01,H,Transporte e armazenagem,-8850,47990
2020-06-01,I,Alojamento e alimentação,-38104,17676
2020-06-01,J,Informação e comunicação,1244,19171
2020-06-01,K,Atividades financeiras,-1182,7656
2020-06-01,L,Atividades imobiliárias,-463,2907
2020-06-01,M,Atividades profissionais e científicas,-3889,26518
2020-06-01,N,Atividades administrativas e serviços,15123,167005
2020-06-01,O,Administração pública,-270,2402
2020-06-01,P,Educação,-20417,8517
2020-06-01,Q,Saúde humana e serviço social,13559,58809
2020-06-01,R,"Artes, cultura e esporte",-4521,1151
