date,secao,secao_nome,saldo,admissoes,fonte
2007-01-01,A,Agropecuária,17226,109682,CAGED Antigo
2007-01-01,B,Indústria extrativa,2085,5478,CAGED Antigo
2007-01-01,C,Indústria de transformação,38021,235673,CAGED Antigo
2007-01-01,D,Eletricidade e gás,-136,897,CAGED Antigo
2007-01-01,E,"Água, esgoto e resíduos",1264,5972,CAGED Antigo
2007-01-01,F,Construção,11899,112702,CAGED Antigo
2007-01-01,G,Comércio e reparação,-8409,265857,CAGED Antigo
2007-01-01,H,Transporte e armazenagem,2831,46984,CAGED Antigo
2007-01-01,I,Alojamento e alimentação,6045,59808,CAGED Antigo
2007-01-01,J,Informação e comunicação,4046,23021,CAGED Antigo
2007-01-01,K,Atividades financeiras,2936,11287,CAGED Antigo
2007-01-01,L,Atividades imobiliárias,916,4523,CAGED Antigo
2007-01-01,M,Atividades profissionais e científicas,5866,24779,CAGED Antigo
2007-01-01,N,Atividades administrativas e serviços,19940,153467,CAGED Antigo
2007-01-01,O,Administração pública,-1589,5226,CAGED Antigo
2007-01-01,P,Educação,-5892,14622,CAGED Antigo
2007-01-01,Q,Saúde humana e serviço social,4182,27159,CAGED Antigo
2007-01-01,R,"Artes, cultura e esporte",1510,7997,CAGED Antigo
2007-01-01,S,Outros serviços,2613,28292,CAGED Antigo
2007-01-01,T,Serviços domésticos,85,534,CAGED Antigo
2007-01-01,U,Organismos internacionais,29,83,CAGED Antigo
2007-02-01,A,Agropecuária,21923,109763,CAGED Antigo
2007-02-01,B,Indústria extrativa,1223,4234,CAGED Antigo
2007-02-01,C,Indústria de transformação,28097,238569,CAGED Antigo
2007-02-01,D,Eletricidade e gás,514,1434,CAGED Antigo
2007-02-01,E,"Água, esgoto e resíduos",608,5579,CAGED Antigo
2007-02-01,F,Construção,5746,98242,CAGED Antigo
2007-02-01,G,Comércio e reparação,13539,248796,CAGED Antigo
2007-02-01,H,Transporte e armazenagem,6873,49169,CAGED Antigo
2007-02-01,I,Alojamento e alimentação,1320,52949,CAGED Antigo
2007-02-01,J,Informação e comunicação,3034,19598,CAGED Antigo
2007-02-01,K,Atividades financeiras,1776,9532,CAGED Antigo
2007-02-01,L,Atividades imobiliárias,577,3946,CAGED Antigo
2007-02-01,M,Atividades profissionais e científicas,3657,20812,CAGED Antigo
2007-02-01,N,Atividades administrativas e serviços,5073,134080,CAGED Antigo
2007-02-01,O,Administração pública,13146,18855,CAGED Antigo
2007-02-01,P,Educação,28888,51875,CAGED Antigo
2007-02-01,Q,Saúde humana e serviço social,841,27858,CAGED Antigo
2007-02-01,R,"Artes, cultura e esporte",-23,6359,CAGED Antigo
2007-02-01,S,Outros serviços,11185,35591,CAGED Antigo
2007-02-01,T,Serviços domésticos,-6,434,CAGED Antigo
2007-02-01,U,Organismos internacionais,28,62,CAGED Antigo
2007-03-01,A,Agropecuária,11245,110967,CAGED Antigo
2007-03-01,B,Indústria extrativa,953,4557,CAGED Antigo
2007-03-01,C,Indústria de transformação,38607,269570,CAGED Antigo
2007-03-01,D,Eletricidade e gás,309,1068,CAGED Antigo
2007-03-01,E,"Água, esgoto e resíduos",646,6203,CAGED Antigo
2007-03-01,F,Construção,17540,119340,CAGED Antigo
2007-03-01,G,Comércio e reparação,13878,282836,CAGED Antigo
2007-03-01,H,Transporte e armazenagem,8056,56978,CAGED Antigo
2007-03-01,I,Alojamento e alimentação,-1309,55211,CAGED Antigo
2007-03-01,J,Informação e comunicação,1315,19578,CAGED Antigo
2007-03-01,K,Atividades financeiras,1217,10865,CAGED Antigo
2007-03-01,L,Atividades imobiliárias,543,4936,CAGED Antigo
2007-03-01,M,Atividades profissionais e científicas,4318,25271,CAGED Antigo
2007-03-01,N,Atividades administrativas e serviços,19978,162569,CAGED Antigo
2007-03-01,O,Administração pública,6311,12285,CAGED Antigo
2007-03-01,P,Educação,14113,33893,CAGED Antigo
2007-03-01,Q,Saúde humana e serviço social,-728,30768,CAGED Antigo
2007-03-01,R,"Artes, cultura e esporte",92,7305,CAGED Antigo
2007-03-01,S,Outros serviços,8261,36148,CAGED Antigo
2007-03-01,T,Serviços domésticos,29,464,CAGED Antigo
2007-03-01,U,Organismos internacionais,-1,57,CAGED Antigo
2007-04-01,A,Agropecuária,40871,136410,CAGED Antigo
2007-04-01,B,Indústria extrativa,2012,5251,CAGED Antigo
2007-04-01,C,Indústria de transformação,100709,303417,CAGED Antigo
2007-04-01,D,Eletricidade e gás,208,960,CAGED Antigo
2007-04-01,E,"Água, esgoto e resíduos",1503,5729,CAGED Antigo
2007-04-01,F,Construção,30816,116886,CAGED Antigo
2007-04-01,G,Comércio e reparação,38004,273662,CAGED Antigo
2007-04-01,H,Transporte e armazenagem,17716,59305,CAGED Antigo
2007-04-01,I,Alojamento e alimentação,6455,55505,CAGED Antigo
2007-04-01,J,Informação e comunicação,4018,20264,CAGED Antigo
2007-04-01,K,Atividades financeiras,2157,11160,CAGED Antigo
2007-04-01,L,Atividades imobiliárias,1142,4308,CAGED Antigo
2007-04-01,M,Atividades profissionais e científicas,5772,24221,CAGED Antigo
2007-04-01,N,Atividades administrativas e serviços,25881,152950,CAGED Antigo
2007-04-01,O,Administração pública,3466,7959,CAGED Antigo
2007-04-01,P,Educação,8585,22629,CAGED Antigo
2007-04-01,Q,Saúde humana e serviço social,8090,30054,CAGED Antigo
2007-04-01,R,"Artes, cultura e esporte",90,6773,CAGED Antigo
2007-04-01,S,Outros serviços,3206,30967,CAGED Antigo
2007-04-01,T,Serviços domésticos,88,460,CAGED Antigo
2007-04-01,U,Organismos internacionais,21,52,CAGED Antigo
2007-05-01,A,Agropecuária,80102,175462,CAGED Antigo
2007-05-01,B,Indústria extrativa,1566,5263,CAGED Antigo
2007-05-01,C,Indústria de transformação,55869,272851,CAGED Antigo
2007-05-01,D,Eletricidade e gás,191,790,CAGED Antigo
2007-05-01,E,"Água, esgoto e resíduos",145,5405,CAGED Antigo
2007-05-01,F,Construção,14079,121464,CAGED Antigo
2007-05-01,G,Comércio e reparação,17224,281583,CAGED Antigo
2007-05-01,H,Transporte e armazenagem,9518,59398,CAGED Antigo
2007-05-01,I,Alojamento e alimentação,677,56041,CAGED Antigo
2007-05-01,J,Informação e comunicação,2504,21055,CAGED Antigo
2007-05-01,K,Atividades financeiras,1863,11228,CAGED Antigo
2007-05-01,L,Atividades imobiliárias,512,4572,CAGED Antigo
2007-05-01,M,Atividades profissionais e científicas,1738,23086,CAGED Antigo
2007-05-01,N,Atividades administrativas e serviços,12771,156182,CAGED Antigo
2007-05-01,O,Administração pública,2315,7236,CAGED Antigo
2007-05-01,P,Educação,4579,19836,CAGED Antigo
2007-05-01,Q,Saúde humana e serviço social,4555,30248,CAGED Antigo
2007-05-01,R,"Artes, cultura e esporte",-3574,6249,CAGED Antigo
2007-05-01,S,Outros serviços,5256,31509,CAGED Antigo
2007-05-01,T,Serviços domésticos,25,485,CAGED Antigo
2007-05-01,U,Organismos internacionais,-4,67,CAGED Antigo
2007-06-01,A,Agropecuária,66209,160883,CAGED Antigo
2007-06-01,B,Indústria extrativa,1479,4791,CAGED Antigo
2007-06-01,C,Indústria de transformação,26611,230513,CAGED Antigo
2007-06-01,D,Eletricidade e gás,187,743,CAGED Antigo
2007-06-01,E,"Água, esgoto e resíduos",1322,5832,CAGED Antigo
2007-06-01,F,Construção,18567,120688,CAGED Antigo
2007-06-01,G,Comércio e reparação,29333,269754,CAGED Antigo
2007-06-01,H,Transporte e armazenagem,7931,53943,CAGED Antigo
2007-06-01,I,Alojamento e alimentação,6254,55334,CAGED Antigo
2007-06-01,J,Informação e comunicação,368,19725,CAGED Antigo
2007-06-01,K,Atividades financeiras,1139,11674,CAGED Antigo
