date,saldo
2020-01-01,92671
2020-02-01,198372
2020-03-01,-232311
2020-04-01,-902317
2020-05-01,-352862
2020-06-01,-23244
2020-07-01,121443
2020-08-01,238117
2020-09-01,313559
2020-10-01,388940
2020-11-01,408938
2020-12-01,-79955
2021-01-01,257042
2021-02-01,397860
2021-03-01,176312
2021-04-01,113641
2021-05-01,273893
2021-06-01,306133
2021-07-01,314669
2021-08-01,373899
2021-09-01,317083
2021-10-01,253071
2021-11-01,325736
2021-12-01,-262858
2022-01-01,153105
2022-02-01,327568
2022-03-01,139018
2022-04-01,198682
2022-05-01,272347
2022-06-01,274894
2022-07-01,219097
2022-08-01,278486
2022-09-01,278205
2022-10-01,160030
2022-11-01,138089
2022-12-01,-427955
2023-01-01,79361
2023-02-01,240308
2023-03-01,198254
2023-04-01,181308
2023-05-01,153399
2023-06-01,154944
2023-07-01,142601
2023-08-01,222340
2023-09-01,211431
2023-10-01,191201
2023-11-01,131593
2023-12-01,-427085
2024-01-01,180389
2024-02-01,306108
2024-03-01,244298
2024-04-01,235232
2024-05-01,125796
2024-06-01,196269
2024-07-01,183762
2024-08-01,228895
2024-09-01,244568
2024-10-01,129981
2024-11-01,103500
2024-12-01,-533993
2025-01-01,137092
2025-02-01,431911
2025-03-01,71572
2025-04-01,257524
2025-05-01,148881
2025-06-01,166654
2025-07-01,129799
2025-08-01,147401
2025-09-01,213008
2025-10-01,85128
2025-11-01,85814
2025-12-01,-618081
2026-01-01,112312
2026-02-01,255361
2026-03-01,228026
