date,saldo,fonte
2007-01-01,105468,CAGED Antigo
2007-02-01,148019,CAGED Antigo
2007-03-01,146141,CAGED Antigo
2007-04-01,301991,CAGED Antigo
2007-05-01,212217,CAGED Antigo
2007-06-01,181667,CAGED Antigo
2007-07-01,126992,CAGED Antigo
2007-08-01,133329,CAGED Antigo
2007-09-01,251168,CAGED Antigo
2007-10-01,205260,CAGED Antigo
2007-11-01,124554,CAGED Antigo
2007-12-01,-319414,CAGED Antigo
2008-01-01,142921,CAGED Antigo
2008-02-01,204963,CAGED Antigo
2008-03-01,206556,CAGED Antigo
2008-04-01,294522,CAGED Antigo
2008-06-01,309442,CAGED Antigo
2008-07-01,203218,CAGED Antigo
2008-09-01,282841,CAGED Antigo
2008-10-01,61401,CAGED Antigo
2008-11-01,-40821,CAGED Antigo
2008-12-01,-654946,CAGED Antigo
2009-01-01,-101748,CAGED Antigo
2009-02-01,9179,CAGED Antigo
2009-03-01,34818,CAGED Antigo
2009-04-01,106205,CAGED Antigo
2009-05-01,131557,CAGED Antigo
2009-07-01,138402,CAGED Antigo
2009-09-01,252617,CAGED Antigo
2009-12-01,-415192,CAGED Antigo
2010-01-01,181419,CAGED Antigo
2010-02-01,209425,CAGED Antigo
2010-03-01,266415,CAGED Antigo
2010-04-01,305068,CAGED Antigo
2010-08-01,299415,CAGED Antigo
2010-09-01,246875,CAGED Antigo
2010-11-01,138247,CAGED Antigo
2011-01-01,152091,CAGED Antigo
2011-02-01,280799,CAGED Antigo
2011-04-01,272225,CAGED Antigo
2011-05-01,252067,CAGED Antigo
2011-06-01,215393,CAGED Antigo
2011-07-01,140563,CAGED Antigo
2011-08-01,190446,CAGED Antigo
2011-09-01,209078,CAGED Antigo
2011-10-01,126143,CAGED Antigo
2011-11-01,42735,CAGED Antigo
2011-12-01,-408172,CAGED Antigo
2012-01-01,118895,CAGED Antigo
2012-02-01,150600,CAGED Antigo
2012-03-01,111746,CAGED Antigo
2012-04-01,216974,CAGED Antigo
2012-07-01,142496,CAGED Antigo
2012-09-01,150334,CAGED Antigo
2012-11-01,46095,CAGED Antigo
2012-12-01,-496944,CAGED Antigo
2013-02-01,123446,CAGED Antigo
2013-03-01,112450,CAGED Antigo
2013-04-01,196913,CAGED Antigo
2013-05-01,72028,CAGED Antigo
2013-06-01,123836,CAGED Antigo
2013-07-01,41463,CAGED Antigo
2013-08-01,127648,CAGED Antigo
2013-09-01,211068,CAGED Antigo
2013-11-01,47486,CAGED Antigo
2013-12-01,-449444,CAGED Antigo
2014-01-01,29595,CAGED Antigo
2014-02-01,260823,CAGED Antigo
2014-04-01,105384,CAGED Antigo
2014-06-01,25363,CAGED Antigo
2014-07-01,11796,CAGED Antigo
2014-08-01,101425,CAGED Antigo
2014-10-01,-30283,CAGED Antigo
2014-11-01,8381,CAGED Antigo
2015-02-01,-2415,CAGED Antigo
2015-04-01,-97828,CAGED Antigo
2015-05-01,-115599,CAGED Antigo
2015-06-01,-111199,CAGED Antigo
2015-08-01,-86543,CAGED Antigo
2015-09-01,-95602,CAGED Antigo
2015-10-01,-169131,CAGED Antigo
2015-12-01,-596208,CAGED Antigo
2016-01-01,-99694,CAGED Antigo
2016-02-01,-104582,CAGED Antigo
2016-04-01,-62844,CAGED Antigo
2016-06-01,-91032,CAGED Antigo
2016-07-01,-94724,CAGED Antigo
2016-08-01,-33953,CAGED Antigo
2016-09-01,-39282,CAGED Antigo
2016-10-01,-74748,CAGED Antigo
2016-11-01,-116747,CAGED Antigo
2016-12-01,-462366,CAGED Antigo
2017-01-01,-40864,CAGED Antigo
2017-02-01,35612,CAGED Antigo
2017-03-01,-63624,CAGED Antigo
2017-05-01,34253,CAGED Antigo
2017-07-01,35900,CAGED Antigo
2017-08-01,35457,CAGED Antigo
2017-09-01,34392,CAGED Antigo
2017-10-01,76599,CAGED Antigo
2017-11-01,-12292,CAGED Antigo
2018-01-01,77822,CAGED Antigo
2018-02-01,61188,CAGED Antigo
2018-03-01,56151,CAGED Antigo
2018-04-01,115898,CAGED Antigo
2018-05-01,33659,CAGED Antigo
2018-06-01,-661,CAGED Antigo
2018-07-01,47319,CAGED Antigo
2018-08-01,110431,CAGED Antigo
2018-09-01,137336,CAGED Antigo
2018-10-01,57733,CAGED Antigo
2018-11-01,58664,CAGED Antigo
2018-12-01,-334462,CAGED Antigo
2019-02-01,173139,CAGED Antigo
2019-04-01,129601,CAGED Antigo
2019-05-01,32140,CAGED Antigo
2019-06-01,48436,CAGED Antigo
2019-07-01,43820,CAGED Antigo
2019-10-01,70852,CAGED Antigo
2019-11-01,99232,CAGED Antigo
2019-12-01,-307311,CAGED Antigo
