date,uf_code,uf,regiao,saldo
2020-01-01,11,RO,Norte,-343
2020-01-01,12,AC,Norte,130
2020-01-01,13,AM,Norte,893
2020-01-01,14,RR,Norte,322
2020-01-01,15,PA,Norte,459
2020-01-01,16,AP,Norte,-79
2020-01-01,17,TO,Norte,90
2020-01-01,21,MA,Nordeste,-25
2020-01-01,22,PI,Nordeste,-486
2020-01-01,23,CE,Nordeste,1644
2020-01-01,24,RN,Nordeste,-1353
2020-01-01,25,PB,Nordeste,-1312
2020-01-01,26,PE,Nordeste,-2756
2020-01-01,27,AL,Nordeste,-4257
2020-01-01,28,SE,Nordeste,257
2020-01-01,29,BA,Nordeste,2034
2020-01-01,31,MG,Sudeste,4165
2020-01-01,32,ES,Sudeste,297
2020-01-01,33,RJ,Sudeste,-11243
2020-01-01,35,SP,Sudeste,33057
2020-01-01,41,PR,Sul,16139
2020-01-01,42,SC,Sul,26194
2020-01-01,43,RS,Sul,11562
2020-01-01,50,MS,Centro-Oeste,1350
2020-01-01,51,MT,Centro-Oeste,8567
2020-01-01,52,GO,Centro-Oeste,6702
2020-01-01,53,DF,Centro-Oeste,663
2020-01-01,99,ND99,ND,7
2020-02-01,11,RO,Norte,649
2020-02-01,12,AC,Norte,857
2020-02-01,13,AM,Norte,1851
2020-02-01,14,RR,Norte,789
2020-02-01,15,PA,Norte,3764
2020-02-01,16,AP,Norte,298
2020-02-01,17,TO,Norte,1260
2020-02-01,21,MA,Nordeste,1822
2020-02-01,22,PI,Nordeste,839
2020-02-01,23,CE,Nordeste,6481
2020-02-01,24,RN,Nordeste,-2439
2020-02-01,25,PB,Nordeste,-2702
2020-02-01,26,PE,Nordeste,-1660
2020-02-01,27,AL,Nordeste,-8364
2020-02-01,28,SE,Nordeste,-2129
2020-02-01,29,BA,Nordeste,6814
2020-02-01,31,MG,Sudeste,25404
2020-02-01,32,ES,Sudeste,3616
2020-02-01,33,RJ,Sudeste,4221
2020-02-01,35,SP,Sudeste,68441
2020-02-01,41,PR,Sul,26360
2020-02-01,42,SC,Sul,18407
2020-02-01,43,RS,Sul,21193
2020-02-01,50,MS,Centro-Oeste,5513
2020-02-01,51,MT,Centro-Oeste,2960
2020-02-01,52,GO,Centro-Oeste,9477
2020-02-01,53,DF,Centro-Oeste,4650
2020-02-01,99,ND99,ND,-4
2020-03-01,11,RO,Norte,-764
2020-03-01,12,AC,Norte,56
2020-03-01,13,AM,Norte,-2608
2020-03-01,14,RR,Norte,472
2020-03-01,15,PA,Norte,-1769
2020-03-01,16,AP,Norte,-242
2020-03-01,17,TO,Norte,-86
2020-03-01,21,MA,Nordeste,-1143
2020-03-01,22,PI,Nordeste,86
2020-03-01,23,CE,Nordeste,-2684
2020-03-01,24,RN,Nordeste,-2053
2020-03-01,25,PB,Nordeste,-668
2020-03-01,26,PE,Nordeste,-24794
2020-03-01,27,AL,Nordeste,-5622
2020-03-01,28,SE,Nordeste,-2626
2020-03-01,29,BA,Nordeste,-13753
2020-03-01,31,MG,Sudeste,-16485
2020-03-01,32,ES,Sudeste,-3948
2020-03-01,33,RJ,Sudeste,-29122
2020-03-01,35,SP,Sudeste,-78240
2020-03-01,41,PR,Sul,-12990
2020-03-01,42,SC,Sul,-6946
2020-03-01,43,RS,Sul,-13451
