date,uf_code,uf,regiao,saldo,fonte
2007-01-01,11,RO,Norte,130,CAGED Antigo
2007-01-01,12,AC,Norte,-319,CAGED Antigo
2007-01-01,13,AM,Norte,854,CAGED Antigo
2007-01-01,14,RR,Norte,102,CAGED Antigo
2007-01-01,15,PA,Norte,-1940,CAGED Antigo
2007-01-01,16,AP,Norte,-157,CAGED Antigo
2007-01-01,17,TO,Norte,459,CAGED Antigo
2007-01-01,21,MA,Nordeste,-252,CAGED Antigo
2007-01-01,22,PI,Nordeste,69,CAGED Antigo
2007-01-01,23,CE,Nordeste,-4356,CAGED Antigo
2007-01-01,24,RN,Nordeste,-2627,CAGED Antigo
2007-01-01,25,PB,Nordeste,-6403,CAGED Antigo
2007-01-01,26,PE,Nordeste,-9722,CAGED Antigo
2007-01-01,27,AL,Nordeste,-2562,CAGED Antigo
2007-01-01,28,SE,Nordeste,115,CAGED Antigo
2007-01-01,29,BA,Nordeste,3473,CAGED Antigo
2007-01-01,31,MG,Sudeste,7234,CAGED Antigo
2007-01-01,32,ES,Sudeste,1830,CAGED Antigo
2007-01-01,33,RJ,Sudeste,189,CAGED Antigo
2007-01-01,35,SP,Sudeste,59172,CAGED Antigo
2007-01-01,41,PR,Sul,8864,CAGED Antigo
2007-01-01,42,SC,Sul,14389,CAGED Antigo
2007-01-01,43,RS,Sul,14920,CAGED Antigo
2007-01-01,50,MS,Centro-Oeste,4818,CAGED Antigo
2007-01-01,51,MT,Centro-Oeste,6620,CAGED Antigo
2007-01-01,52,GO,Centro-Oeste,10292,CAGED Antigo
2007-01-01,53,DF,Centro-Oeste,276,CAGED Antigo
2007-02-01,11,RO,Norte,847,CAGED Antigo
2007-02-01,12,AC,Norte,-50,CAGED Antigo
2007-02-01,13,AM,Norte,724,CAGED Antigo
2007-02-01,14,RR,Norte,128,CAGED Antigo
2007-02-01,15,PA,Norte,1833,CAGED Antigo
2007-02-01,16,AP,Norte,330,CAGED Antigo
2007-02-01,17,TO,Norte,945,CAGED Antigo
2007-02-01,21,MA,Nordeste,1893,CAGED Antigo
2007-02-01,22,PI,Nordeste,-377,CAGED Antigo
2007-02-01,23,CE,Nordeste,-589,CAGED Antigo
2007-02-01,24,RN,Nordeste,-1631,CAGED Antigo
2007-02-01,25,PB,Nordeste,-1336,CAGED Antigo
2007-02-01,26,PE,Nordeste,-16188,CAGED Antigo
2007-02-01,27,AL,Nordeste,-10897,CAGED Antigo
2007-02-01,28,SE,Nordeste,713,CAGED Antigo
2007-02-01,29,BA,Nordeste,1606,CAGED Antigo
2007-02-01,31,MG,Sudeste,17452,CAGED Antigo
2007-02-01,32,ES,Sudeste,224,CAGED Antigo
2007-02-01,33,RJ,Sudeste,9220,CAGED Antigo
2007-02-01,35,SP,Sudeste,83410,CAGED Antigo
2007-02-01,41,PR,Sul,13957,CAGED Antigo
2007-02-01,42,SC,Sul,14683,CAGED Antigo
2007-02-01,43,RS,Sul,13643,CAGED Antigo
2007-02-01,50,MS,Centro-Oeste,2635,CAGED Antigo
2007-02-01,51,MT,Centro-Oeste,8260,CAGED Antigo
2007-02-01,52,GO,Centro-Oeste,8015,CAGED Antigo
2007-02-01,53,DF,Centro-Oeste,-1431,CAGED Antigo
2007-03-01,11,RO,Norte,1168,CAGED Antigo
2007-03-01,12,AC,Norte,287,CAGED Antigo
2007-03-01,13,AM,Norte,2659,CAGED Antigo
2007-03-01,14,RR,Norte,83,CAGED Antigo
2007-03-01,15,PA,Norte,-369,CAGED Antigo
2007-03-01,16,AP,Norte,72,CAGED Antigo
2007-03-01,17,TO,Norte,651,CAGED Antigo
2007-03-01,21,MA,Nordeste,937,CAGED Antigo
2007-03-01,22,PI,Nordeste,-125,CAGED Antigo
2007-03-01,23,CE,Nordeste,-200,CAGED Antigo
2007-03-01,24,RN,Nordeste,-1162,CAGED Antigo
2007-03-01,25,PB,Nordeste,28,CAGED Antigo
2007-03-01,26,PE,Nordeste,-1195,CAGED Antigo
2007-03-01,27,AL,Nordeste,-16545,CAGED Antigo
2007-03-01,28,SE,Nordeste,-1535,CAGED Antigo
2007-03-01,29,BA,Nordeste,7966,CAGED Antigo
2007-03-01,31,MG,Sudeste,24043,CAGED Antigo
2007-03-01,32,ES,Sudeste,4907,CAGED Antigo
2007-03-01,33,RJ,Sudeste,10696,CAGED Antigo
2007-03-01,35,SP,Sudeste,67223,CAGED Antigo
2007-03-01,41,PR,Sul,20090,CAGED Antigo
2007-03-01,42,SC,Sul,4751,CAGED Antigo
2007-03-01,43,RS,Sul,8926,CAGED Antigo
2007-03-01,50,MS,Centro-Oeste,5523,CAGED Antigo
2007-03-01,51,MT,Centro-Oeste,3244,CAGED Antigo
2007-03-01,52,GO,Centro-Oeste,7097,CAGED Antigo
2007-03-01,53,DF,Centro-Oeste,-3079,CAGED Antigo
2007-04-01,11,RO,Norte,1232,CAGED Antigo
2007-04-01,12,AC,Norte,397,CAGED Antigo
2007-04-01,13,AM,Norte,3162,CAGED Antigo
2007-04-01,14,RR,Norte,69,CAGED Antigo
2007-04-01,15,PA,Norte,3482,CAGED Antigo
2007-04-01,16,AP,Norte,120,CAGED Antigo
2007-04-01,17,TO,Norte,1511,CAGED Antigo
2007-04-01,21,MA,Nordeste,2315,CAGED Antigo
2007-04-01,22,PI,Nordeste,1146,CAGED Antigo
2007-04-01,23,CE,Nordeste,4033,CAGED Antigo
2007-04-01,24,RN,Nordeste,1138,CAGED Antigo
2007-04-01,25,PB,Nordeste,2104,CAGED Antigo
2007-04-01,26,PE,Nordeste,4735,CAGED Antigo
2007-04-01,27,AL,Nordeste,-6792,CAGED Antigo
2007-04-01,28,SE,Nordeste,1155,CAGED Antigo
2007-04-01,29,BA,Nordeste,10592,CAGED Antigo
2007-04-01,31,MG,Sudeste,38773,CAGED Antigo
2007-04-01,32,ES,Sudeste,10793,CAGED Antigo
2007-04-01,33,RJ,Sudeste,19586,CAGED Antigo
2007-04-01,35,SP,Sudeste,129420,CAGED Antigo
2007-04-01,41,PR,Sul,27478,CAGED Antigo
2007-04-01,42,SC,Sul,9759,CAGED Antigo
2007-04-01,43,RS,Sul,15008,CAGED Antigo
2007-04-01,50,MS,Centro-Oeste,4513,CAGED Antigo
2007-04-01,51,MT,Centro-Oeste,5086,CAGED Antigo
2007-04-01,52,GO,Centro-Oeste,7329,CAGED Antigo
2007-04-01,53,DF,Centro-Oeste,3847,CAGED Antigo
2007-05-01,11,RO,Norte,1514,CAGED Antigo
2007-05-01,12,AC,Norte,1,CAGED Antigo
2007-05-01,13,AM,Norte,2109,CAGED Antigo
2007-05-01,14,RR,Norte,405,CAGED Antigo
2007-05-01,15,PA,Norte,2397,CAGED Antigo
2007-05-01,16,AP,Norte,249,CAGED Antigo
2007-05-01,17,TO,Norte,1234,CAGED Antigo
2007-05-01,21,MA,Nordeste,2309,CAGED Antigo
2007-05-01,22,PI,Nordeste,1126,CAGED Antigo
2007-05-01,23,CE,Nordeste,2836,CAGED Antigo
2007-05-01,24,RN,Nordeste,959,CAGED Antigo
2007-05-01,25,PB,Nordeste,1446,CAGED Antigo
2007-05-01,26,PE,Nordeste,11356,CAGED Antigo
2007-05-01,27,AL,Nordeste,479,CAGED Antigo
2007-05-01,28,SE,Nordeste,76,CAGED Antigo
2007-05-01,29,BA,Nordeste,9326,CAGED Antigo
2007-05-01,31,MG,Sudeste,52989,CAGED Antigo
2007-05-01,32,ES,Sudeste,5206,CAGED Antigo
2007-05-01,33,RJ,Sudeste,11150,CAGED Antigo
2007-05-01,35,SP,Sudeste,81467,CAGED Antigo
2007-05-01,41,PR,Sul,16360,CAGED Antigo
2007-05-01,42,SC,Sul,-120,CAGED Antigo
2007-05-01,43,RS,Sul,-3382,CAGED Antigo
2007-05-01,50,MS,Centro-Oeste,-628,CAGED Antigo
2007-05-01,51,MT,Centro-Oeste,2151,CAGED Antigo
2007-05-01,52,GO,Centro-Oeste,8617,CAGED Antigo
2007-05-01,53,DF,Centro-Oeste,585,CAGED Antigo
2007-06-01,11,RO,Norte,1357,CAGED Antigo
2007-06-01,12,AC,Norte,454,CAGED Antigo
2007-06-01,13,AM,Norte,2342,CAGED Antigo
2007-06-01,14,RR,Norte,-89,CAGED Antigo
2007-06-01,15,PA,Norte,2910,CAGED Antigo
2007-06-01,16,AP,Norte,-13,CAGED Antigo
2007-06-01,17,TO,Norte,1173,CAGED Antigo
2007-06-01,21,MA,Nordeste,2470,CAGED Antigo
2007-06-01,22,PI,Nordeste,600,CAGED Antigo
2007-06-01,23,CE,Nordeste,2667,CAGED Antigo
2007-06-01,24,RN,Nordeste,2439,CAGED Antigo
2007-06-01,25,PB,Nordeste,305,CAGED Antigo
2007-06-01,26,PE,Nordeste,8854,CAGED Antigo
2007-06-01,27,AL,Nordeste,1347,CAGED Antigo
2007-06-01,28,SE,Nordeste,1368,CAGED Antigo
2007-06-01,29,BA,Nordeste,6678,CAGED Antigo
2007-06-01,31,MG,Sudeste,46080,CAGED Antigo
2007-06-01,32,ES,Sudeste,-3276,CAGED Antigo
2007-06-01,33,RJ,Sudeste,12987,CAGED Antigo
2007-06-01,35,SP,Sudeste,65483,CAGED Antigo
2007-06-01,41,PR,Sul,8466,CAGED Antigo
2007-06-01,42,SC,Sul,3059,CAGED Antigo
2007-06-01,43,RS,Sul,-1132,CAGED Antigo
2007-06-01,50,MS,Centro-Oeste,298,CAGED Antigo
2007-06-01,51,MT,Centro-Oeste,6153,CAGED Antigo
2007-06-01,52,GO,Centro-Oeste,7236,CAGED Antigo
2007-06-01,53,DF,Centro-Oeste,1451,CAGED Antigo
2007-07-01,11,RO,Norte,1621,CAGED Antigo
2007-07-01,12,AC,Norte,8,CAGED Antigo
2007-07-01,13,AM,Norte,2274,CAGED Antigo
2007-07-01,14,RR,Norte,79,CAGED Antigo
2007-07-01,15,PA,Norte,6930,CAGED Antigo
2007-07-01,16,AP,Norte,387,CAGED Antigo
2007-07-01,17,TO,Norte,749,CAGED Antigo
2007-07-01,21,MA,Nordeste,1549,CAGED Antigo
2007-07-01,22,PI,Nordeste,655,CAGED Antigo
2007-07-01,23,CE,Nordeste,6364,CAGED Antigo
2007-07-01,24,RN,Nordeste,3936,CAGED Antigo
2007-07-01,25,PB,Nordeste,2944,CAGED Antigo
2007-07-01,26,PE,Nordeste,1953,CAGED Antigo
2007-07-01,27,AL,Nordeste,3109,CAGED Antigo
2007-07-01,28,SE,Nordeste,669,CAGED Antigo
2007-07-01,29,BA,Nordeste,6387,CAGED Antigo
2007-07-01,31,MG,Sudeste,630,CAGED Antigo
2007-07-01,32,ES,Sudeste,1736,CAGED Antigo
2007-07-01,33,RJ,Sudeste,8737,CAGED Antigo
2007-07-01,35,SP,Sudeste,59407,CAGED Antigo
2007-07-01,41,PR,Sul,10068,CAGED Antigo
2007-07-01,42,SC,Sul,3315,CAGED Antigo
2007-07-01,43,RS,Sul,-1690,CAGED Antigo
2007-07-01,50,MS,Centro-Oeste,-1674,CAGED Antigo
2007-07-01,51,MT,Centro-Oeste,1889,CAGED Antigo
2007-07-01,52,GO,Centro-Oeste,2788,CAGED Antigo
2007-07-01,53,DF,Centro-Oeste,2172,CAGED Antigo
2007-08-01,11,RO,Norte,795,CAGED Antigo
2007-08-01,12,AC,Norte,-53,CAGED Antigo
2007-08-01,13,AM,Norte,3346,CAGED Antigo
2007-08-01,14,RR,Norte,61,CAGED Antigo
2007-08-01,15,PA,Norte,5720,CAGED Antigo
2007-08-01,16,AP,Norte,316,CAGED Antigo
2007-08-01,17,TO,Norte,699,CAGED Antigo
2007-08-01,21,MA,Nordeste,2393,CAGED Antigo
2007-08-01,22,PI,Nordeste,860,CAGED Antigo
2007-08-01,23,CE,Nordeste,9582,CAGED Antigo
2007-08-01,24,RN,Nordeste,4833,CAGED Antigo
2007-08-01,25,PB,Nordeste,4903,CAGED Antigo
2007-08-01,26,PE,Nordeste,12205,CAGED Antigo
2007-08-01,27,AL,Nordeste,500,CAGED Antigo
2007-08-01,28,SE,Nordeste,1098,CAGED Antigo
2007-08-01,29,BA,Nordeste,3484,CAGED Antigo
2007-08-01,31,MG,Sudeste,-16281,CAGED Antigo
2007-08-01,32,ES,Sudeste,722,CAGED Antigo
2007-08-01,33,RJ,Sudeste,8976,CAGED Antigo
2007-08-01,35,SP,Sudeste,59049,CAGED Antigo
2007-08-01,41,PR,Sul,12036,CAGED Antigo
2007-08-01,42,SC,Sul,7141,CAGED Antigo
2007-08-01,43,RS,Sul,673,CAGED Antigo
2007-08-01,50,MS,Centro-Oeste,788,CAGED Antigo
2007-08-01,51,MT,Centro-Oeste,2061,CAGED Antigo
2007-08-01,52,GO,Centro-Oeste,4764,CAGED Antigo
2007-08-01,53,DF,Centro-Oeste,2658,CAGED Antigo
2007-09-01,11,RO,Norte,932,CAGED Antigo
2007-09-01,12,AC,Norte,203,CAGED Antigo
2007-09-01,13,AM,Norte,2828,CAGED Antigo
2007-09-01,14,RR,Norte,252,CAGED Antigo
2007-09-01,15,PA,Norte,4464,CAGED Antigo
2007-09-01,16,AP,Norte,194,CAGED Antigo
2007-09-01,17,TO,Norte,714,CAGED Antigo
2007-09-01,21,MA,Nordeste,2636,CAGED Antigo
2007-09-01,22,PI,Nordeste,2206,CAGED Antigo
2007-09-01,23,CE,Nordeste,7781,CAGED Antigo
2007-09-01,24,RN,Nordeste,5845,CAGED Antigo
2007-09-01,25,PB,Nordeste,3455,CAGED Antigo
2007-09-01,26,PE,Nordeste,23499,CAGED Antigo
2007-09-01,27,AL,Nordeste,29496,CAGED Antigo
2007-09-01,28,SE,Nordeste,3027,CAGED Antigo
2007-09-01,29,BA,Nordeste,6542,CAGED Antigo
2007-09-01,31,MG,Sudeste,2258,CAGED Antigo
2007-09-01,32,ES,Sudeste,3345,CAGED Antigo
2007-09-01,33,RJ,Sudeste,20640,CAGED Antigo
2007-09-01,35,SP,Sudeste,77418,CAGED Antigo
2007-09-01,41,PR,Sul,14189,CAGED Antigo
2007-09-01,42,SC,Sul,11724,CAGED Antigo
2007-09-01,43,RS,Sul,14986,CAGED Antigo
2007-09-01,50,MS,Centro-Oeste,2132,CAGED Antigo
2007-09-01,51,MT,Centro-Oeste,3091,CAGED Antigo
2007-09-01,52,GO,Centro-Oeste,4126,CAGED Antigo
2007-09-01,53,DF,Centro-Oeste,3185,CAGED Antigo
2007-10-01,11,RO,Norte,1056,CAGED Antigo
2007-10-01,12,AC,Norte,-229,CAGED Antigo
2007-10-01,13,AM,Norte,4726,CAGED Antigo
2007-10-01,14,RR,Norte,141,CAGED Antigo
2007-10-01,15,PA,Norte,2711,CAGED Antigo
2007-10-01,16,AP,Norte,50,CAGED Antigo
2007-10-01,17,TO,Norte,704,CAGED Antigo
2007-10-01,21,MA,Nordeste,1034,CAGED Antigo
2007-10-01,22,PI,Nordeste,2074,CAGED Antigo
2007-10-01,23,CE,Nordeste,6755,CAGED Antigo
2007-10-01,24,RN,Nordeste,1746,CAGED Antigo
2007-10-01,25,PB,Nordeste,3386,CAGED Antigo
2007-10-01,26,PE,Nordeste,7668,CAGED Antigo
2007-10-01,27,AL,Nordeste,3806,CAGED Antigo
2007-10-01,28,SE,Nordeste,1072,CAGED Antigo
2007-10-01,29,BA,Nordeste,6219,CAGED Antigo
2007-10-01,31,MG,Sudeste,13703,CAGED Antigo
2007-10-01,32,ES,Sudeste,258,CAGED Antigo
2007-10-01,33,RJ,Sudeste,16455,CAGED Antigo
2007-10-01,35,SP,Sudeste,73118,CAGED Antigo
2007-10-01,41,PR,Sul,13088,CAGED Antigo
2007-10-01,42,SC,Sul,16470,CAGED Antigo
2007-10-01,43,RS,Sul,20118,CAGED Antigo
2007-10-01,50,MS,Centro-Oeste,2637,CAGED Antigo
2007-10-01,51,MT,Centro-Oeste,509,CAGED Antigo
2007-10-01,52,GO,Centro-Oeste,1973,CAGED Antigo
2007-10-01,53,DF,Centro-Oeste,4012,CAGED Antigo
2007-11-01,11,RO,Norte,-119,CAGED Antigo
2007-11-01,12,AC,Norte,-148,CAGED Antigo
2007-11-01,13,AM,Norte,3701,CAGED Antigo
2007-11-01,14,RR,Norte,171,CAGED Antigo
2007-11-01,15,PA,Norte,3832,CAGED Antigo
2007-11-01,16,AP,Norte,365,CAGED Antigo
2007-11-01,17,TO,Norte,386,CAGED Antigo
2007-11-01,21,MA,Nordeste,913,CAGED Antigo
2007-11-01,22,PI,Nordeste,278,CAGED Antigo
2007-11-01,23,CE,Nordeste,6690,CAGED Antigo
2007-11-01,24,RN,Nordeste,952,CAGED Antigo
2007-11-01,25,PB,Nordeste,1774,CAGED Antigo
2007-11-01,26,PE,Nordeste,5421,CAGED Antigo
2007-11-01,27,AL,Nordeste,-956,CAGED Antigo
2007-11-01,28,SE,Nordeste,1974,CAGED Antigo
2007-11-01,29,BA,Nordeste,391,CAGED Antigo
2007-11-01,31,MG,Sudeste,10964,CAGED Antigo
2007-11-01,32,ES,Sudeste,2010,CAGED Antigo
2007-11-01,33,RJ,Sudeste,21452,CAGED Antigo
